name,rarity,color_identity
"Aatchik, Emerald Radian",rare,Multicolor
Adrenaline Jockey,uncommon,R
Aether Syphon,uncommon,U
Aetherjacket,common,Colorless
Afterburner Expert,rare,G
Agonasaur Rex,rare,G
Air Response Unit,uncommon,W
Alacrian Armory,uncommon,W
Alacrian Jaguar,common,G
Amonkhet Raceway,uncommon,Colorless
Ancient Vendetta,uncommon,B
Apocalypse Runner,uncommon,Multicolor
Autarch Mammoth,uncommon,G
Avishkar Raceway,common,Colorless
Back on Track,uncommon,B
"Basri, Tomorrow's Champion",rare,W
Beastrider Vanguard,common,G
Bestow Greatness,common,G
Bleachbone Verge,rare,Multicolor
Bloodfell Caves,special,Multicolor
Bloodghast,rare,B
Blossoming Sands,special,Multicolor
Bone Miser,special,B
Boom Scholar,uncommon,Multicolor
Boommobile,rare,R
Boosted Sloop,uncommon,Multicolor
Bounce Off,common,U
Brightfield Glider,common,W
Brightfield Mustang,common,W
Brightglass Gearhulk,mythic,Multicolor
Broadcast Rambler,common,W
Broadside Barrage,uncommon,Multicolor
Broken Wings,common,G
Broodheart Engine,uncommon,Multicolor
Bulwark Ox,rare,W
Burner Rocket,common,R
Burnout Bashtronaut,rare,R
"Caelorna, Coral Tyrant",uncommon,U
Camera Launcher,common,Colorless
Canyon Vaulter,uncommon,W
"Captain Howler, Sea Scourge",rare,Multicolor
"Caradora, Heart of Alacria",rare,Multicolor
Carrion Cruiser,uncommon,B
Cavalier of Dawn,special,W
Chandra's Ignition,special,R
"Chandra, Spark Hunter",mythic,R
Chitin Gravestalker,common,B
Chrome Mox,special,Colorless
Clamorous Ironclad,common,R
Cloudspire Captain,uncommon,W
Cloudspire Coordinator,uncommon,Multicolor
Cloudspire Skycycle,uncommon,Multicolor
Coalstoke Gearhulk,mythic,Multicolor
Collision Course,common,W
Count on Luck,rare,R
Country Roads,uncommon,W
Crash and Burn,common,R
Cryptcaller Chariot,rare,B
Cursecloth Wrappings,rare,B
"Daretti, Rocketeer Engineer",rare,R
Daring Mechanic,common,W
Deathless Pilot,common,B
Debris Beetle,rare,Multicolor
Defend the Rider,uncommon,G
Demonic Junker,rare,B
Detention Chariot,uncommon,W
Dismal Backwater,special,Multicolor
District Mascot,rare,G
Diversion Unit,uncommon,U
Draconautics Engineer,rare,R
Dracosaur Auxiliary,uncommon,R
Dredger's Insight,uncommon,G
Dune Drifter,uncommon,Multicolor
Dynamite Diver,common,R
Earthrumbler,uncommon,G
Elvish Refueler,uncommon,G
Embalmed Ascendant,uncommon,Multicolor
Endrider Catalyzer,common,R
Endrider Spikespitter,uncommon,R
Engine Rat,common,B
Explosive Getaway,rare,Multicolor
Fang Guardian,uncommon,G
Fang-Druid Summoner,uncommon,G
"Far Fortune, End Boss",rare,Multicolor
Fearless Swashbuckler,rare,Multicolor
Flood the Engine,common,U
Foul Roads,uncommon,B
Fuel the Flames,uncommon,R
Full Throttle,rare,R
Gallant Strike,uncommon,W
Galvanic Blast,special,R
Gas Guzzler,rare,B
Gastal Blockbuster,common,R
Gastal Raider,uncommon,B
Gastal Thrillroller,rare,R
Gastal Thrillseeker,uncommon,Multicolor
Gearseeker Serpent,common,U
Gilded Ghoda,common,R
Glitch Ghost Surveyor,common,U
Gloryheath Lynx,uncommon,W
Goblin Surveyor,common,R
"Gonti, Night Minister",rare,B
Greasewrench Goblin,uncommon,R
Greenbelt Guardian,uncommon,G
Grim Bauble,common,B
Grim Javelineer,common,B
Guardian Sunmare,rare,W
Guidelight Matrix,common,Colorless
Guidelight Optimizer,common,U
Guidelight Pathmaker,uncommon,Multicolor
Guidelight Synergist,uncommon,W
Haunt the Network,uncommon,Multicolor
Haunted Hellride,uncommon,Multicolor
Hazard of the Dunes,common,G
"Hazoret, Godseeker",mythic,R
Hellish Sideswipe,uncommon,B
Hour of Victory,uncommon,B
Howler's Heavy,common,U
Howlsquad Heavy,rare,R
Hulldrifter,common,U
Interface Ace,common,W
Intimidation Tactics,uncommon,B
Jibbirik Omnivore,common,G
Jungle Hollow,special,Multicolor
"Kalakscion, Hunger Tyrant",uncommon,B
Keen Buccaneer,common,U
"Ketramose, the New Dawn",mythic,Multicolor
Kickoff Celebrations,common,R
"Kolodin, Triumph Caster",rare,Multicolor
"Lagorin, Soul of Alacria",uncommon,Multicolor
Leonin Surveyor,common,W
Lifecraft Engine,rare,Colorless
Lightning Strike,common,R
Lightshield Parry,common,W
Lightwheel Enhancements,common,W
Locust Spray,uncommon,B
"Loot, the Pathfinder",mythic,Multicolor
Lord of the Undead,special,B
Lotusguard Disciple,common,W
Loxodon Surveyor,common,G
Lumbering Worldwagon,rare,G
Magmakin Artillerist,common,R
Marauding Mako,uncommon,R
March of the World Ooze,mythic,G
Marketback Walker,rare,Colorless
Marshals' Pathcruiser,uncommon,Multicolor
Maximum Overdrive,common,B
Memory Guardian,uncommon,U
"Mendicant Core, Guidelight",rare,Multicolor
