name,rarity,color_identity
Abzan Devotee,common,Multicolor
Abzan Monument,uncommon,Multicolor
Adorned Crocodile,common,B
Aegis Sculptor,uncommon,U
Agent of Kotis,common,U
Aggressive Negotiations,common,B
Ainok Wayfarer,common,G
Alchemist's Assistant,uncommon,B
Alesha's Legacy,common,B
All-Out Assault,mythic,Multicolor
Ambling Stormshell,rare,U
"Anafenza, Unyielding Lineage",rare,W
Arashin Sunshield,common,W
Arid Mesa,special,Colorless
Armament Dragon,uncommon,Multicolor
Attuned Hunter,uncommon,G
Auroral Procession,uncommon,Multicolor
Avenger of the Fallen,rare,B
Awaken the Honored Dead,rare,Multicolor
Barrensteppe Siege,rare,Multicolor
Bearer of Glory,common,W
"Betor, Kin to All",mythic,Multicolor
Bewildering Blizzard,uncommon,U
Bloodfell Caves,common,Multicolor
Bloomvine Regent,rare,G
Blossoming Sands,common,Multicolor
Bone-Cairn Butcher,uncommon,Multicolor
Boulderborn Dragon,common,Colorless
Breaching Dragonstorm,uncommon,R
Call the Spirit Dragons,mythic,Multicolor
Caustic Exhale,common,B
Champion of Dusan,common,G
Channeled Dragonfire,uncommon,R
Clarion Conqueror,rare,W
Constrictor Sage,uncommon,U
Coordinated Maneuver,common,W
Cori Mountain Monastery,rare,R
Cori Mountain Stalwart,uncommon,Multicolor
Cori-Steel Cutter,rare,R
Corroding Dragonstorm,uncommon,B
Craterhoof Behemoth,mythic,G
Cruel Truths,common,B
Dalkovan Encampment,rare,W
Dalkovan Packbeasts,uncommon,W
Death Begets Life,mythic,Multicolor
Defibrillating Current,uncommon,Multicolor
Delta Bloodflies,common,B
Descendant of Storms,uncommon,W
Desperate Measures,uncommon,B
Devoted Duelist,common,R
Dirgur Island Dragon,common,U
Dismal Backwater,common,Multicolor
Dispelling Exhale,common,U
Disruptive Stormbrood,uncommon,Multicolor
Dracogenesis,mythic,R
Dragon Sniper,uncommon,G
Dragon's Prey,common,B
Dragonback Assault,mythic,Multicolor
Dragonback Lancer,common,W
Dragonbroods' Relic,uncommon,Multicolor
Dragonclaw Strike,uncommon,Multicolor
Dragonfire Blade,rare,Colorless
Dragonologist,rare,U
Dragonstorm Forecaster,uncommon,U
Dragonstorm Globe,common,Colorless
Dusyut Earthcarver,common,G
Duty Beyond Death,uncommon,W
Eerie Ultimatum,special,Multicolor
