name,rarity,color_identity
"Aegar, the Freezing Flame",special,Multicolor
Aerial Boost,common,W
Aetherblade Agent,common,Multicolor
Akki Scrapchomper,common,R
Alabaster Host Intercessor,common,W
Alabaster Host Sanctifier,common,W
"Anafenza, Kin-Tree Spirit",special,W
Ancient Imperiosaur,rare,G
Angelic Intervention,common,W
Arachnoid Adaptation,common,G
Archangel Elspeth,mythic,W
Archpriest of Shadows,rare,B
"Arixmethes, Slumbering Isle",special,Multicolor
Artistic Refusal,uncommon,U
Assimilate Essence,common,U
Astral Wingspan,uncommon,U
Atraxa's Fall,common,G
"Atraxa, Praetors' Voice",special,Multicolor
"Atris, Oracle of Half-Truths",special,Multicolor
Attentive Skywarden,common,W
"Aurelia, the Warleader",special,Multicolor
"Ayara, First of Locthwain",special,B
"Ayara, Widow of the Realm",rare,Multicolor
Baral and Kari Zev,rare,Multicolor
"Baral, Chief of Compliance",special,U
Beamtown Beatstick,common,R
Bladed Battle-Fan,common,B
Blighted Burgeoning,common,G
Blightreaper Thallid,uncommon,Multicolor
Bloated Processor,rare,B
Bloodfeather Phoenix,rare,R
Bloodfell Caves,special,Multicolor
Blossoming Sands,special,Multicolor
Bola Slinger,common,W
Bonded Herdbeast,common,Multicolor
Boon-Bringer Valkyrie,rare,W
Borborygmos and Fblthp,mythic,Multicolor
Botanical Brawler,uncommon,Multicolor
Breach the Multiverse,rare,B
"Brudiclad, Telchor Engineer",special,Multicolor
Burning Sun's Fury,common,R
Captain Lannery Storm,special,R
Captive Weird,uncommon,Multicolor
"Chandra, Hope's Beacon",mythic,R
Change the Equation,uncommon,U
Chomping Kavu,common,G
Chrome Host Seedshark,rare,U
City on Fire,rare,R
Collective Nightmare,uncommon,B
Coming In Hot,common,R
Compleated Huntmaster,uncommon,B
Complete the Circuit,rare,U
Consuming Aetherborn,common,B
Converter Beast,common,G
Copper Host Crusher,uncommon,G
Corrupted Conviction,special,B
Corruption of Towashi,uncommon,U
Cosmic Hunger,common,G
Crystal Carapace,common,G
Cut Short,common,W
"Daxos, Blessed by the Sun",special,W
Deadly Derision,common,B
Deeproot Wayfinder,rare,G
"Dina, Soul Steeper",special,Multicolor
Dismal Backwater,special,Multicolor
Disturbing Conversion,common,U
Djeru and Hazoret,rare,Multicolor
Doomskar Warrior,rare,G
Drana and Linvala,rare,Multicolor
Dreg Recycler,common,B
Dusk Legion Duelist,rare,W
Elesh Norn,mythic,W
"Elesh Norn, Grand Cenobite",special,W
Elspeth's Smite,uncommon,W
Elvish Vatkeeper,uncommon,Multicolor
"Emry, Lurker of the Loch",special,U
Enduring Bondwarden,common,W
Ephara's Dispersal,common,U
Errant and Giada,rare,Multicolor
"Etali, Primal Conqueror",rare,Multicolor
Etched Familiar,common,B
Etched Host Doombringer,common,B
Expedition Lookout,common,U
Eyes of Gitaxias,common,U
"Ezuri, Claw of Progress",special,Multicolor
Faerie Mastermind,rare,U
Failed Conversion,common,B
Fearless Skald,uncommon,R
Fertilid's Favor,common,G
Final Flourish,common,B
Firesong and Sunspeaker,special,Multicolor
"Firja, Judge of Valor",special,Multicolor
Flitting Guerrilla,common,B
Flywheel Racer,common,Colorless
Furnace Gremlin,uncommon,R
Furnace Host Charger,common,R
Furnace Reins,uncommon,R
Furtive Analyst,common,U
"Fynn, the Fangbearer",special,G
Ghalta and Mavren,rare,Multicolor
Gift of Compleation,uncommon,B
"Glissa, Herald of Predation",rare,Multicolor
Glistening Dawn,rare,G
Glistening Deluge,uncommon,B
