name,rarity,color_identity
Abrade,special,R
Adamant Will,common,W
Aim for the Head,common,B
Alchemist's Gambit,rare,Multicolor
Alchemist's Retrieval,common,U
Alluring Suitor,uncommon,R
Ancestral Anger,common,R
Ancient Lumberknot,uncommon,Multicolor
Angelic Quartermaster,uncommon,W
"Anje, Maid of Dishonor",rare,Multicolor
Apprentice Sharpshooter,common,G
Archghoul of Thraben,uncommon,B
Arm the Cathars,uncommon,W
Ascendant Packleader,rare,G
Avabruck Caretaker,mythic,G
Ballista Watcher,uncommon,R
Belligerent Guest,common,R
Binding Geist,common,U
Biolume Egg,uncommon,U
Bleed Dry,common,B
Blood Fountain,common,B
Blood Hypnotist,uncommon,R
Blood Petal Celebrant,common,R
Blood Servitor,common,Colorless
Bloodcrazed Socialite,common,B
Bloodsworn Squire,uncommon,B
Bloodtithe Harvester,uncommon,Multicolor
Bloodvial Purveyor,rare,B
Bloody Betrayal,common,R
Boarded Window,uncommon,Colorless
Bramble Armor,common,G
Bramble Wurm,uncommon,G
Bride's Gown,uncommon,W
Brine Comber,uncommon,Multicolor
By Invitation Only,rare,W
Cartographer's Survey,uncommon,G
Catapult Fodder,uncommon,B
Cemetery Desecrator,mythic,B
Cemetery Gatekeeper,mythic,R
Cemetery Illuminator,mythic,U
Cemetery Protector,mythic,W
Cemetery Prowler,mythic,G
Ceremonial Knife,common,Colorless
"Chandra, Dressed to Kill",mythic,R
Change of Fortune,rare,R
Child of the Pack,uncommon,Multicolor
Chill of the Grave,common,U
Circle of Confinement,uncommon,W
Cloaked Cadet,uncommon,G
Cobbled Lancer,uncommon,U
Concealing Curtains,rare,B
Consuming Tide,rare,U
Courier Bat,common,B
Cradle of Safety,common,U
Crawling Infestation,uncommon,G
Creepy Puppeteer,rare,R
Cruel Witness,common,U
Crushing Canopy,common,G
Cultivator Colossus,mythic,G
Curse of Hospitality,rare,R
Dawnhart Disciple,common,G
Dawnhart Geist,uncommon,W
Daybreak Combatants,common,R
Deathcap Glade,rare,Multicolor
Demonic Bargain,rare,B
Desperate Farmer,common,B
Dig Up,rare,Multicolor
Diregraf Scavenger,common,B
Distracting Geist,uncommon,W
Diver Skaab,uncommon,U
Dollhouse of Horrors,rare,Colorless
Dominating Vampire,rare,R
Doomed Dissenter,common,B
Dormant Grove,uncommon,G
"Dorothea, Vengeful Victim",rare,Multicolor
Dread Fugue,uncommon,B
Dreadfeast Demon,rare,B
Dreadlight Monstrosity,common,U
Dreamroot Cascade,rare,Multicolor
Dreamshackle Geist,rare,U
Drogskol Infantry,common,W
Dying to Serve,rare,B
Edgar's Awakening,uncommon,B
"Edgar, Charmed Groom",rare,Multicolor
End the Festivities,common,R
"Eruth, Tormented Prophet",rare,Multicolor
Estwald Shieldbasher,common,W
Evolving Wilds,special,Colorless
Faithbound Judge,mythic,W
Falkenrath Celebrants,common,R
Falkenrath Forebear,rare,B
Fear of Death,common,U
Fearful Villager,common,R
Fell Stinger,uncommon,B
Fierce Retribution,special,W
Flame-Blessed Bolt,common,R
Fleeting Spirit,uncommon,W
Flourishing Hunter,common,G
Foreboding Statue,uncommon,Colorless
Frenzied Devils,uncommon,R
Geistlight Snare,uncommon,U
"Geralf, Visionary Stitcher",rare,U
Gift of Fangs,common,B
Glorious Sunrise,rare,G
Gluttonous Guest,common,B
Graf Reaver,rare,B
Grisly Ritual,common,B
"Grolnok, the Omnivore",rare,Multicolor
Groom's Finery,uncommon,B
Gryff Rider,common,W
Gryffwing Cavalry,uncommon,W
Gutter Skulker,uncommon,U
"Halana and Alena, Partners",rare,Multicolor
Hallowed Haunting,special,W
Hamlet Vanguard,rare,G
Headless Rider,rare,B
Henrika Domnathi,mythic,B
Hero's Downfall,special,B
Heron of Hope,common,W
Heron-Blessed Geist,common,W
Hiveheart Shaman,rare,G
Honeymoon Hearse,uncommon,R
Honored Heirloom,common,Colorless
Hookhand Mariner,common,G
Hopeful Initiate,rare,W
Howling Moon,rare,G
Howlpack Piper,rare,G
Hullbreaker Horror,rare,U
Hungry Ridgewolf,common,R
Ill-Tempered Loner,rare,R
Infestation Expert,uncommon,G
Innocent Traveler,uncommon,B
Inspired Idea,rare,U
Into the Night,uncommon,R
Investigator's Journal,rare,Colorless
"Jacob Hauken, Inspector",mythic,U
"Katilda, Dawnhart Martyr",rare,W
"Kaya, Geist Hunter",mythic,Multicolor
Kessig Flamebreather,common,R
Kessig Wolfrider,rare,R
Kindly Ancestor,common,W
Lacerate Flesh,common,R
Laid to Rest,uncommon,G
Lambholt Raconteur,uncommon,R
Lantern Bearer,common,U
Lantern Flare,rare,Multicolor
Lantern of the Lost,uncommon,Colorless
Lightning Wolf,common,R
Lunar Rejection,uncommon,U
Magma Pummeler,uncommon,R
Manaform Hellkite,mythic,R
Markov Purifier,uncommon,Multicolor
Markov Retribution,uncommon,R
Markov Waltzer,uncommon,Multicolor
Massive Might,common,G
Militia Rallier,common,W
Mindleech Ghoul,common,B
Mirrorhall Mimic,rare,U
Mischievous Catgeist,uncommon,U
Moldgraf Millipede,common,G
Mulch,common,G
Nature's Embrace,common,G
Nebelgast Beguiler,common,W
Necroduality,mythic,U
Nurturing Presence,common,W
Oakshade Stalker,uncommon,G
"Odric, Blood-Cursed",rare,Multicolor
